,Bios,Movies,TV,Religion,Music,Sports,Books,Politics,Cluster #
61,Total zombie geek. Unable to type with boxing gloves on. Freelance problem solver. General food specialist. Communicator.,6.0,6.999999999999999,8.0,5.000000000000001,1.0,1.0,5.000000000000001,7.0
62,Zombie fanatic. Typical coffeeaholic. Certified music ninja. Organizer. Avid alcohol expert.,2.0,5.000000000000001,0.0,5.000000000000001,9.0,6.999999999999999,1.0,10.0
63,Student. Beer advocate. Incurable food nerd. Zombie fan. Extreme tv practitioner. Lifelong creator.,4.0,3.0,2.0,0.0,8.0,2.0,6.999999999999999,0.0
64,Communicator. Award-winning internet specialist. Freelance entrepreneur. Reader. Bacon fanatic.,6.999999999999999,8.0,4.0,1.0,6.999999999999999,3.0,2.0,9.0
65,Passionate twitter nerd. Music ninja. Unapologetic internet guru. Hardcore zombie evangelist. Proud entrepreneur. Bacon specialist.,9.0,0.0,8.0,3.0,6.999999999999999,5.000000000000001,6.0,5.0
66,Avid troublemaker. General web fanatic. Freelance travel nerd. Lifelong social media geek. Certified beer specialist. Unable to type with boxing gloves on.,1.0,0.0,1.0,4.0,6.999999999999999,6.999999999999999,8.0,7.0
67,Lifelong explorer. Professional pop culture nerd. Troublemaker.,6.999999999999999,0.0,5.000000000000001,2.0,0.0,0.0,8.0,2.0
68,Pop culture nerd. Food scholar. Unapologetic beer enthusiast. Travel junkie. Social media fanatic.,9.0,4.0,4.0,4.0,4.0,9.0,2.0,2.0
69,Prone to fits of apathy. Coffee scholar. Extreme writer. Musicaholic. Alcohol expert. Total explorer.,9.0,9.0,1.0,3.0,6.999999999999999,6.0,3.0,3.0
70,Twitter specialist. Pop culture fan. Travel lover. Typical organizer. Professional writer. Amateur introvert.,0.0,0.0,2.0,6.999999999999999,0.0,6.999999999999999,6.0,2.0
71,Troublemaker. Devoted alcohol enthusiast. Typical twitter trailblazer. Web junkie. Writer. Coffee evangelist.,4.0,2.0,2.0,6.999999999999999,6.999999999999999,9.0,4.0,5.0
72,Music expert. General organizer. Infuriatingly humble pop culture maven.,2.0,3.0,1.0,1.0,6.0,9.0,4.0,2.0
73,Devoted communicator. Internet fanatic. Award-winning writer. Pop culture enthusiast.,1.0,1.0,9.0,1.0,1.0,5.000000000000001,9.0,9.0
74,Beer nerd. Award-winning coffee fanatic. Web lover. Subtly charming twitter fan. Lifelong music aficionado.,6.0,5.000000000000001,6.999999999999999,3.0,6.0,4.0,0.0,2.0
75,Travel junkie. Proud communicator. Freelance pop culture guru. Entrepreneur.,4.0,6.0,8.0,4.0,6.999999999999999,9.0,6.0,2.0
76,Total zombie geek. Unable to type with boxing gloves on. Freelance problem solver. General food specialist. Communicator.,4.0,4.0,6.999999999999999,9.0,2.0,5.000000000000001,6.999999999999999,7.0
77,Zombie fanatic. Typical coffeeaholic. Certified music ninja. Organizer. Avid alcohol expert.,3.0,2.0,5.000000000000001,8.0,4.0,0.0,4.0,10.0
78,Student. Beer advocate. Incurable food nerd. Zombie fan. Extreme tv practitioner. Lifelong creator.,8.0,3.0,5.000000000000001,5.000000000000001,3.0,5.000000000000001,2.0,0.0
79,Communicator. Award-winning internet specialist. Freelance entrepreneur. Reader. Bacon fanatic.,4.0,4.0,0.0,6.999999999999999,4.0,9.0,1.0,9.0
80,Passionate twitter nerd. Music ninja. Unapologetic internet guru. Hardcore zombie evangelist. Proud entrepreneur. Bacon specialist.,8.0,8.0,4.0,6.0,9.0,6.999999999999999,3.0,5.0
81,Avid troublemaker. General web fanatic. Freelance travel nerd. Lifelong social media geek. Certified beer specialist. Unable to type with boxing gloves on.,4.0,3.0,1.0,6.999999999999999,5.000000000000001,3.0,6.0,7.0
82,Lifelong explorer. Professional pop culture nerd. Troublemaker.,6.999999999999999,9.0,8.0,4.0,8.0,9.0,9.0,2.0
83,Pop culture nerd. Food scholar. Unapologetic beer enthusiast. Travel junkie. Social media fanatic.,6.999999999999999,5.000000000000001,9.0,4.0,6.0,6.999999999999999,0.0,2.0
84,Prone to fits of apathy. Coffee scholar. Extreme writer. Musicaholic. Alcohol expert. Total explorer.,2.0,4.0,4.0,9.0,2.0,4.0,3.0,3.0
85,Twitter specialist. Pop culture fan. Travel lover. Typical organizer. Professional writer. Amateur introvert.,3.0,8.0,1.0,8.0,1.0,9.0,4.0,2.0
86,Troublemaker. Devoted alcohol enthusiast. Typical twitter trailblazer. Web junkie. Writer. Coffee evangelist.,6.999999999999999,6.0,6.0,5.000000000000001,5.000000000000001,0.0,9.0,5.0
87,Music expert. General organizer. Infuriatingly humble pop culture maven.,6.0,8.0,5.000000000000001,3.0,6.0,2.0,0.0,2.0
88,Devoted communicator. Internet fanatic. Award-winning writer. Pop culture enthusiast.,9.0,9.0,0.0,1.0,9.0,4.0,4.0,9.0
89,Beer nerd. Award-winning coffee fanatic. Web lover. Subtly charming twitter fan. Lifelong music aficionado.,0.0,1.0,3.0,6.0,6.0,6.0,6.999999999999999,2.0
90,Travel junkie. Proud communicator. Freelance pop culture guru. Entrepreneur.,6.0,6.0,6.0,9.0,4.0,0.0,9.0,2.0
91,Total zombie geek. Unable to type with boxing gloves on. Freelance problem solver. General food specialist. Communicator.,0.0,0.0,9.0,4.0,6.999999999999999,1.0,9.0,7.0
92,Zombie fanatic. Typical coffeeaholic. Certified music ninja. Organizer. Avid alcohol expert.,2.0,1.0,3.0,3.0,6.999999999999999,4.0,5.000000000000001,10.0
93,Student. Beer advocate. Incurable food nerd. Zombie fan. Extreme tv practitioner. Lifelong creator.,8.0,6.999999999999999,2.0,3.0,6.999999999999999,6.999999999999999,9.0,0.0
94,Communicator. Award-winning internet specialist. Freelance entrepreneur. Reader. Bacon fanatic.,1.0,3.0,4.0,5.000000000000001,6.999999999999999,9.0,5.000000000000001,9.0
95,Passionate twitter nerd. Music ninja. Unapologetic internet guru. Hardcore zombie evangelist. Proud entrepreneur. Bacon specialist.,3.0,0.0,1.0,3.0,8.0,9.0,6.0,5.0
96,Avid troublemaker. General web fanatic. Freelance travel nerd. Lifelong social media geek. Certified beer specialist. Unable to type with boxing gloves on.,8.0,9.0,5.000000000000001,3.0,6.0,6.0,2.0,7.0
97,Lifelong explorer. Professional pop culture nerd. Troublemaker.,5.000000000000001,3.0,3.0,6.999999999999999,4.0,0.0,9.0,2.0
98,Pop culture nerd. Food scholar. Unapologetic beer enthusiast. Travel junkie. Social media fanatic.,5.000000000000001,3.0,6.0,4.0,6.999999999999999,6.999999999999999,1.0,2.0
99,Prone to fits of apathy. Coffee scholar. Extreme writer. Musicaholic. Alcohol expert. Total explorer.,1.0,2.0,1.0,5.000000000000001,9.0,5.000000000000001,6.0,3.0
100,Twitter specialist. Pop culture fan. Travel lover. Typical organizer. Professional writer. Amateur introvert.,0.0,6.0,9.0,0.0,9.0,3.0,4.0,2.0
101,Troublemaker. Devoted alcohol enthusiast. Typical twitter trailblazer. Web junkie. Writer. Coffee evangelist.,8.0,4.0,9.0,4.0,5.000000000000001,5.000000000000001,6.999999999999999,5.0
102,Music expert. General organizer. Infuriatingly humble pop culture maven.,9.0,4.0,1.0,9.0,8.0,8.0,4.0,2.0
103,Devoted communicator. Internet fanatic. Award-winning writer. Pop culture enthusiast.,1.0,6.0,9.0,5.000000000000001,2.0,5.000000000000001,9.0,9.0
104,Beer nerd. Award-winning coffee fanatic. Web lover. Subtly charming twitter fan. Lifelong music aficionado.,6.0,6.999999999999999,6.0,1.0,5.000000000000001,4.0,0.0,2.0
105,Travel junkie. Proud communicator. Freelance pop culture guru. Entrepreneur.,0.0,4.0,8.0,6.999999999999999,2.0,0.0,9.0,2.0
106,Total zombie geek. Unable to type with boxing gloves on. Freelance problem solver. General food specialist. Communicator.,3.0,0.0,2.0,9.0,8.0,6.999999999999999,4.0,7.0
107,Zombie fanatic. Typical coffeeaholic. Certified music ninja. Organizer. Avid alcohol expert.,3.0,1.0,4.0,3.0,2.0,9.0,6.999999999999999,10.0
108,Student. Beer advocate. Incurable food nerd. Zombie fan. Extreme tv practitioner. Lifelong creator.,1.0,8.0,9.0,1.0,0.0,0.0,6.0,0.0
109,Communicator. Award-winning internet specialist. Freelance entrepreneur. Reader. Bacon fanatic.,0.0,6.0,9.0,1.0,2.0,3.0,1.0,9.0
110,Passionate twitter nerd. Music ninja. Unapologetic internet guru. Hardcore zombie evangelist. Proud entrepreneur. Bacon specialist.,9.0,1.0,2.0,6.0,0.0,1.0,9.0,5.0
111,Avid troublemaker. General web fanatic. Freelance travel nerd. Lifelong social media geek. Certified beer specialist. Unable to type with boxing gloves on.,5.000000000000001,9.0,1.0,1.0,8.0,4.0,1.0,7.0
112,Lifelong explorer. Professional pop culture nerd. Troublemaker.,8.0,3.0,8.0,6.0,3.0,4.0,2.0,2.0
113,Pop culture nerd. Food scholar. Unapologetic beer enthusiast. Travel junkie. Social media fanatic.,6.0,2.0,6.999999999999999,3.0,8.0,2.0,6.999999999999999,2.0
114,Prone to fits of apathy. Coffee scholar. Extreme writer. Musicaholic. Alcohol expert. Total explorer.,6.999999999999999,5.000000000000001,0.0,5.000000000000001,1.0,6.999999999999999,8.0,3.0
115,Twitter specialist. Pop culture fan. Travel lover. Typical organizer. Professional writer. Amateur introvert.,4.0,3.0,6.0,6.0,6.999999999999999,4.0,4.0,2.0
116,Troublemaker. Devoted alcohol enthusiast. Typical twitter trailblazer. Web junkie. Writer. Coffee evangelist.,5.000000000000001,8.0,6.0,1.0,6.0,0.0,6.0,5.0
117,Music expert. General organizer. Infuriatingly humble pop culture maven.,4.0,5.000000000000001,3.0,6.999999999999999,1.0,4.0,1.0,2.0
118,Devoted communicator. Internet fanatic. Award-winning writer. Pop culture enthusiast.,5.000000000000001,0.0,0.0,5.000000000000001,1.0,3.0,8.0,9.0
119,Beer nerd. Award-winning coffee fanatic. Web lover. Subtly charming twitter fan. Lifelong music aficionado.,1.0,9.0,0.0,1.0,1.0,4.0,8.0,2.0
120,Freelance writer. Evil alcohol fan. Certified introvert. Typical creator. Proud gamer. Thinker. Problem solver.,9.0,0.0,8.0,1.0,6.999999999999999,1.0,2.0,5.0
121,Travel scholar. Avid pop culture enthusiast. Falls down a lot. Unapologetic student. Communicator.,9.0,3.0,6.0,3.0,8.0,1.0,0.0,8.0
122,Pop culture evangelist. Organizer. Tv specialist. Professional webaholic. Coffee ninja.,9.0,0.0,1.0,5.000000000000001,3.0,0.0,9.0,2.0
123,Coffee ninja. Unable to type with boxing gloves on. Beer enthusiast. Evil problem solver. Professional bacon lover. Freelance travel fanatic.,3.0,6.0,5.000000000000001,4.0,6.999999999999999,9.0,1.0,7.0
124,Passionate twitter fanatic. Extreme alcohol evangelist. Freelance explorer. Total tv geek.,0.0,4.0,6.999999999999999,8.0,9.0,4.0,8.0,10.0
125,Wannabe bacon expert. Social media advocate. Subtly charming food scholar.,8.0,5.000000000000001,1.0,8.0,9.0,9.0,8.0,6.0
126,Hipster-friendly alcoholaholic. Bacon lover. Internet evangelist. Beer enthusiast. Explorer. Troublemaker.,2.0,5.000000000000001,1.0,3.0,8.0,0.0,2.0,0.0
127,Unapologetic explorer. Devoted music junkie. Beer fanatic. Wannabe internet lover. Friend of animals everywhere.,0.0,5.000000000000001,0.0,2.0,6.0,9.0,4.0,5.0
128,Typical reader. Tv advocate. Unapologetic twitter expert. Pop cultureaholic. Extreme beer practitioner.,2.0,4.0,1.0,6.0,5.000000000000001,1.0,8.0,0.0
129,Pop culture nerd. Bacon enthusiast. Incurable twitter fanatic. Music buff. Writer.,4.0,8.0,2.0,4.0,6.999999999999999,5.000000000000001,9.0,2.0
130,Creator. Evil thinker. Food enthusiast. Tv geek. Incurable web guru. Pop culture buff.,3.0,1.0,3.0,2.0,0.0,2.0,0.0,2.0
131,Analyst. Wannabe zombie fanatic. Reader. Music aficionado. Proud tv specialist.,5.000000000000001,4.0,2.0,5.000000000000001,6.999999999999999,9.0,5.000000000000001,5.0
132,Extreme web ninja. Passionate beer junkie. Proud zombie trailblazer. Wannabe troublemaker. Organizer. Foodaholic.,5.000000000000001,4.0,6.0,2.0,8.0,8.0,0.0,11.0
133,Unapologetic food maven. Evil bacon nerd. Devoted zombieaholic. Infuriatingly humble tv fan.,3.0,9.0,4.0,9.0,2.0,2.0,1.0,4.0
134,Reader. Communicator. Friendly web expert. Total twitter practitioner. Certified explorer. Thinker. Devoted writer.,3.0,3.0,0.0,8.0,5.000000000000001,3.0,2.0,0.0
135,Freelance writer. Evil alcohol fan. Certified introvert. Typical creator. Proud gamer. Thinker. Problem solver.,6.999999999999999,2.0,0.0,3.0,8.0,8.0,8.0,5.0
136,Travel scholar. Avid pop culture enthusiast. Falls down a lot. Unapologetic student. Communicator.,6.999999999999999,6.999999999999999,6.999999999999999,9.0,9.0,5.000000000000001,8.0,8.0
137,Pop culture evangelist. Organizer. Tv specialist. Professional webaholic. Coffee ninja.,9.0,2.0,9.0,9.0,4.0,6.0,1.0,2.0
138,Coffee ninja. Unable to type with boxing gloves on. Beer enthusiast. Evil problem solver. Professional bacon lover. Freelance travel fanatic.,6.0,2.0,5.000000000000001,6.999999999999999,9.0,4.0,1.0,7.0
139,Passionate twitter fanatic. Extreme alcohol evangelist. Freelance explorer. Total tv geek.,3.0,3.0,6.999999999999999,9.0,6.0,9.0,5.000000000000001,10.0
140,Wannabe bacon expert. Social media advocate. Subtly charming food scholar.,8.0,5.000000000000001,8.0,3.0,8.0,2.0,6.0,6.0
141,Hipster-friendly alcoholaholic. Bacon lover. Internet evangelist. Beer enthusiast. Explorer. Troublemaker.,1.0,9.0,3.0,9.0,6.999999999999999,2.0,4.0,0.0
142,Unapologetic explorer. Devoted music junkie. Beer fanatic. Wannabe internet lover. Friend of animals everywhere.,8.0,6.0,8.0,1.0,6.0,1.0,6.0,5.0
143,Typical reader. Tv advocate. Unapologetic twitter expert. Pop cultureaholic. Extreme beer practitioner.,2.0,1.0,6.0,2.0,1.0,2.0,6.0,0.0
144,Pop culture nerd. Bacon enthusiast. Incurable twitter fanatic. Music buff. Writer.,8.0,4.0,3.0,6.0,2.0,6.999999999999999,9.0,2.0
145,Creator. Evil thinker. Food enthusiast. Tv geek. Incurable web guru. Pop culture buff.,5.000000000000001,5.000000000000001,1.0,6.999999999999999,3.0,9.0,3.0,2.0
146,Analyst. Wannabe zombie fanatic. Reader. Music aficionado. Proud tv specialist.,8.0,0.0,2.0,4.0,8.0,6.999999999999999,4.0,5.0
147,Extreme web ninja. Passionate beer junkie. Proud zombie trailblazer. Wannabe troublemaker. Organizer. Foodaholic.,0.0,2.0,0.0,0.0,9.0,6.0,6.999999999999999,11.0
148,Unapologetic food maven. Evil bacon nerd. Devoted zombieaholic. Infuriatingly humble tv fan.,9.0,6.0,8.0,2.0,6.999999999999999,6.999999999999999,1.0,4.0
149,Reader. Communicator. Friendly web expert. Total twitter practitioner. Certified explorer. Thinker. Devoted writer.,6.0,6.0,3.0,6.999999999999999,5.000000000000001,4.0,5.000000000000001,0.0
150,Freelance writer. Evil alcohol fan. Certified introvert. Typical creator. Proud gamer. Thinker. Problem solver.,5.000000000000001,6.999999999999999,2.0,6.0,6.0,4.0,2.0,5.0
151,Travel scholar. Avid pop culture enthusiast. Falls down a lot. Unapologetic student. Communicator.,6.0,8.0,6.999999999999999,4.0,6.0,6.999999999999999,9.0,8.0
152,Pop culture evangelist. Organizer. Tv specialist. Professional webaholic. Coffee ninja.,4.0,5.000000000000001,8.0,1.0,6.999999999999999,9.0,1.0,2.0
153,Coffee ninja. Unable to type with boxing gloves on. Beer enthusiast. Evil problem solver. Professional bacon lover. Freelance travel fanatic.,4.0,0.0,5.000000000000001,6.999999999999999,8.0,1.0,2.0,7.0
154,Passionate twitter fanatic. Extreme alcohol evangelist. Freelance explorer. Total tv geek.,9.0,1.0,1.0,6.0,6.0,4.0,8.0,10.0
155,Wannabe bacon expert. Social media advocate. Subtly charming food scholar.,1.0,2.0,4.0,9.0,2.0,0.0,6.0,6.0
156,Hipster-friendly alcoholaholic. Bacon lover. Internet evangelist. Beer enthusiast. Explorer. Troublemaker.,4.0,6.0,0.0,0.0,3.0,4.0,9.0,0.0
157,Unapologetic explorer. Devoted music junkie. Beer fanatic. Wannabe internet lover. Friend of animals everywhere.,0.0,6.0,6.999999999999999,4.0,8.0,1.0,5.000000000000001,5.0
158,Typical reader. Tv advocate. Unapologetic twitter expert. Pop cultureaholic. Extreme beer practitioner.,3.0,1.0,0.0,4.0,4.0,2.0,6.999999999999999,0.0
159,Pop culture nerd. Bacon enthusiast. Incurable twitter fanatic. Music buff. Writer.,8.0,3.0,6.999999999999999,6.0,6.0,9.0,6.0,2.0
160,Creator. Evil thinker. Food enthusiast. Tv geek. Incurable web guru. Pop culture buff.,5.000000000000001,9.0,4.0,1.0,5.000000000000001,5.000000000000001,4.0,2.0
161,Analyst. Wannabe zombie fanatic. Reader. Music aficionado. Proud tv specialist.,4.0,6.999999999999999,4.0,9.0,9.0,6.0,2.0,5.0
162,Extreme web ninja. Passionate beer junkie. Proud zombie trailblazer. Wannabe troublemaker. Organizer. Foodaholic.,1.0,0.0,5.000000000000001,8.0,5.000000000000001,9.0,3.0,11.0
163,Unapologetic food maven. Evil bacon nerd. Devoted zombieaholic. Infuriatingly humble tv fan.,2.0,5.000000000000001,0.0,3.0,5.000000000000001,5.000000000000001,2.0,4.0
164,Reader. Communicator. Friendly web expert. Total twitter practitioner. Certified explorer. Thinker. Devoted writer.,0.0,6.999999999999999,3.0,0.0,5.000000000000001,1.0,9.0,0.0
165,Freelance writer. Evil alcohol fan. Certified introvert. Typical creator. Proud gamer. Thinker. Problem solver.,9.0,6.999999999999999,3.0,1.0,3.0,2.0,2.0,5.0
