,Bios,Movies,TV,Religion,Music,Sports,Books,Politics
46,Total zombie geek. Unable to type with boxing gloves on. Freelance problem solver. General food specialist. Communicator.,4,3,0,6,8,2,3
47,Zombie fanatic. Typical coffeeaholic. Certified music ninja. Organizer. Avid alcohol expert.,5,3,3,7,4,5,7
48,Student. Beer advocate. Incurable food nerd. Zombie fan. Extreme tv practitioner. Lifelong creator.,0,1,9,3,6,3,3
49,Communicator. Award-winning internet specialist. Freelance entrepreneur. Reader. Bacon fanatic.,5,2,2,5,0,5,2
50,Passionate twitter nerd. Music ninja. Unapologetic internet guru. Hardcore zombie evangelist. Proud entrepreneur. Bacon specialist.,0,6,0,1,8,2,9
51,Avid troublemaker. General web fanatic. Freelance travel nerd. Lifelong social media geek. Certified beer specialist. Unable to type with boxing gloves on.,7,8,4,8,0,9,1
52,Lifelong explorer. Professional pop culture nerd. Troublemaker.,4,6,7,6,7,8,8
53,Pop culture nerd. Food scholar. Unapologetic beer enthusiast. Travel junkie. Social media fanatic.,3,9,0,6,1,8,0
54,Prone to fits of apathy. Coffee scholar. Extreme writer. Musicaholic. Alcohol expert. Total explorer.,4,9,7,4,2,6,8
55,Twitter specialist. Pop culture fan. Travel lover. Typical organizer. Professional writer. Amateur introvert.,3,0,0,0,1,7,8
56,Troublemaker. Devoted alcohol enthusiast. Typical twitter trailblazer. Web junkie. Writer. Coffee evangelist.,1,4,2,0,6,0,7
57,Music expert. General organizer. Infuriatingly humble pop culture maven.,8,3,4,7,9,4,0
58,Devoted communicator. Internet fanatic. Award-winning writer. Pop culture enthusiast.,1,5,4,4,4,6,0
59,Beer nerd. Award-winning coffee fanatic. Web lover. Subtly charming twitter fan. Lifelong music aficionado.,7,6,0,2,3,3,1
60,Travel junkie. Proud communicator. Freelance pop culture guru. Entrepreneur.,4,8,6,6,2,9,1
61,Total zombie geek. Unable to type with boxing gloves on. Freelance problem solver. General food specialist. Communicator.,6,7,8,5,1,1,5
62,Zombie fanatic. Typical coffeeaholic. Certified music ninja. Organizer. Avid alcohol expert.,2,5,0,5,9,7,1
63,Student. Beer advocate. Incurable food nerd. Zombie fan. Extreme tv practitioner. Lifelong creator.,4,3,2,0,8,2,7
64,Communicator. Award-winning internet specialist. Freelance entrepreneur. Reader. Bacon fanatic.,7,8,4,1,7,3,2
65,Passionate twitter nerd. Music ninja. Unapologetic internet guru. Hardcore zombie evangelist. Proud entrepreneur. Bacon specialist.,9,0,8,3,7,5,6
66,Avid troublemaker. General web fanatic. Freelance travel nerd. Lifelong social media geek. Certified beer specialist. Unable to type with boxing gloves on.,1,0,1,4,7,7,8
67,Lifelong explorer. Professional pop culture nerd. Troublemaker.,7,0,5,2,0,0,8
68,Pop culture nerd. Food scholar. Unapologetic beer enthusiast. Travel junkie. Social media fanatic.,9,4,4,4,4,9,2
69,Prone to fits of apathy. Coffee scholar. Extreme writer. Musicaholic. Alcohol expert. Total explorer.,9,9,1,3,7,6,3
70,Twitter specialist. Pop culture fan. Travel lover. Typical organizer. Professional writer. Amateur introvert.,0,0,2,7,0,7,6
71,Troublemaker. Devoted alcohol enthusiast. Typical twitter trailblazer. Web junkie. Writer. Coffee evangelist.,4,2,2,7,7,9,4
72,Music expert. General organizer. Infuriatingly humble pop culture maven.,2,3,1,1,6,9,4
73,Devoted communicator. Internet fanatic. Award-winning writer. Pop culture enthusiast.,1,1,9,1,1,5,9
74,Beer nerd. Award-winning coffee fanatic. Web lover. Subtly charming twitter fan. Lifelong music aficionado.,6,5,7,3,6,4,0
75,Travel junkie. Proud communicator. Freelance pop culture guru. Entrepreneur.,4,6,8,4,7,9,6
76,Total zombie geek. Unable to type with boxing gloves on. Freelance problem solver. General food specialist. Communicator.,4,4,7,9,2,5,7
77,Zombie fanatic. Typical coffeeaholic. Certified music ninja. Organizer. Avid alcohol expert.,3,2,5,8,4,0,4
78,Student. Beer advocate. Incurable food nerd. Zombie fan. Extreme tv practitioner. Lifelong creator.,8,3,5,5,3,5,2
79,Communicator. Award-winning internet specialist. Freelance entrepreneur. Reader. Bacon fanatic.,4,4,0,7,4,9,1
80,Passionate twitter nerd. Music ninja. Unapologetic internet guru. Hardcore zombie evangelist. Proud entrepreneur. Bacon specialist.,8,8,4,6,9,7,3
81,Avid troublemaker. General web fanatic. Freelance travel nerd. Lifelong social media geek. Certified beer specialist. Unable to type with boxing gloves on.,4,3,1,7,5,3,6
82,Lifelong explorer. Professional pop culture nerd. Troublemaker.,7,9,8,4,8,9,9
83,Pop culture nerd. Food scholar. Unapologetic beer enthusiast. Travel junkie. Social media fanatic.,7,5,9,4,6,7,0
84,Prone to fits of apathy. Coffee scholar. Extreme writer. Musicaholic. Alcohol expert. Total explorer.,2,4,4,9,2,4,3
85,Twitter specialist. Pop culture fan. Travel lover. Typical organizer. Professional writer. Amateur introvert.,3,8,1,8,1,9,4
86,Troublemaker. Devoted alcohol enthusiast. Typical twitter trailblazer. Web junkie. Writer. Coffee evangelist.,7,6,6,5,5,0,9
87,Music expert. General organizer. Infuriatingly humble pop culture maven.,6,8,5,3,6,2,0
88,Devoted communicator. Internet fanatic. Award-winning writer. Pop culture enthusiast.,9,9,0,1,9,4,4
89,Beer nerd. Award-winning coffee fanatic. Web lover. Subtly charming twitter fan. Lifelong music aficionado.,0,1,3,6,6,6,7
90,Travel junkie. Proud communicator. Freelance pop culture guru. Entrepreneur.,6,6,6,9,4,0,9
91,Total zombie geek. Unable to type with boxing gloves on. Freelance problem solver. General food specialist. Communicator.,0,0,9,4,7,1,9
92,Zombie fanatic. Typical coffeeaholic. Certified music ninja. Organizer. Avid alcohol expert.,2,1,3,3,7,4,5
93,Student. Beer advocate. Incurable food nerd. Zombie fan. Extreme tv practitioner. Lifelong creator.,8,7,2,3,7,7,9
94,Communicator. Award-winning internet specialist. Freelance entrepreneur. Reader. Bacon fanatic.,1,3,4,5,7,9,5
95,Passionate twitter nerd. Music ninja. Unapologetic internet guru. Hardcore zombie evangelist. Proud entrepreneur. Bacon specialist.,3,0,1,3,8,9,6
96,Avid troublemaker. General web fanatic. Freelance travel nerd. Lifelong social media geek. Certified beer specialist. Unable to type with boxing gloves on.,8,9,5,3,6,6,2
97,Lifelong explorer. Professional pop culture nerd. Troublemaker.,5,3,3,7,4,0,9
98,Pop culture nerd. Food scholar. Unapologetic beer enthusiast. Travel junkie. Social media fanatic.,5,3,6,4,7,7,1
99,Prone to fits of apathy. Coffee scholar. Extreme writer. Musicaholic. Alcohol expert. Total explorer.,1,2,1,5,9,5,6
100,Twitter specialist. Pop culture fan. Travel lover. Typical organizer. Professional writer. Amateur introvert.,0,6,9,0,9,3,4
101,Troublemaker. Devoted alcohol enthusiast. Typical twitter trailblazer. Web junkie. Writer. Coffee evangelist.,8,4,9,4,5,5,7
102,Music expert. General organizer. Infuriatingly humble pop culture maven.,9,4,1,9,8,8,4
103,Devoted communicator. Internet fanatic. Award-winning writer. Pop culture enthusiast.,1,6,9,5,2,5,9
104,Beer nerd. Award-winning coffee fanatic. Web lover. Subtly charming twitter fan. Lifelong music aficionado.,6,7,6,1,5,4,0
105,Travel junkie. Proud communicator. Freelance pop culture guru. Entrepreneur.,0,4,8,7,2,0,9
106,Total zombie geek. Unable to type with boxing gloves on. Freelance problem solver. General food specialist. Communicator.,3,0,2,9,8,7,4
107,Zombie fanatic. Typical coffeeaholic. Certified music ninja. Organizer. Avid alcohol expert.,3,1,4,3,2,9,7
108,Student. Beer advocate. Incurable food nerd. Zombie fan. Extreme tv practitioner. Lifelong creator.,1,8,9,1,0,0,6
109,Communicator. Award-winning internet specialist. Freelance entrepreneur. Reader. Bacon fanatic.,0,6,9,1,2,3,1
110,Passionate twitter nerd. Music ninja. Unapologetic internet guru. Hardcore zombie evangelist. Proud entrepreneur. Bacon specialist.,9,1,2,6,0,1,9
111,Avid troublemaker. General web fanatic. Freelance travel nerd. Lifelong social media geek. Certified beer specialist. Unable to type with boxing gloves on.,5,9,1,1,8,4,1
112,Lifelong explorer. Professional pop culture nerd. Troublemaker.,8,3,8,6,3,4,2
113,Pop culture nerd. Food scholar. Unapologetic beer enthusiast. Travel junkie. Social media fanatic.,6,2,7,3,8,2,7
114,Prone to fits of apathy. Coffee scholar. Extreme writer. Musicaholic. Alcohol expert. Total explorer.,7,5,0,5,1,7,8
115,Twitter specialist. Pop culture fan. Travel lover. Typical organizer. Professional writer. Amateur introvert.,4,3,6,6,7,4,4
116,Troublemaker. Devoted alcohol enthusiast. Typical twitter trailblazer. Web junkie. Writer. Coffee evangelist.,5,8,6,1,6,0,6
117,Music expert. General organizer. Infuriatingly humble pop culture maven.,4,5,3,7,1,4,1
118,Devoted communicator. Internet fanatic. Award-winning writer. Pop culture enthusiast.,5,0,0,5,1,3,8
119,Beer nerd. Award-winning coffee fanatic. Web lover. Subtly charming twitter fan. Lifelong music aficionado.,1,9,0,1,1,4,8
120,Freelance writer. Evil alcohol fan. Certified introvert. Typical creator. Proud gamer. Thinker. Problem solver.,9,0,8,1,7,1,2
121,Travel scholar. Avid pop culture enthusiast. Falls down a lot. Unapologetic student. Communicator.,9,3,6,3,8,1,0
122,Pop culture evangelist. Organizer. Tv specialist. Professional webaholic. Coffee ninja.,9,0,1,5,3,0,9
123,Coffee ninja. Unable to type with boxing gloves on. Beer enthusiast. Evil problem solver. Professional bacon lover. Freelance travel fanatic.,3,6,5,4,7,9,1
124,Passionate twitter fanatic. Extreme alcohol evangelist. Freelance explorer. Total tv geek.,0,4,7,8,9,4,8
125,Wannabe bacon expert. Social media advocate. Subtly charming food scholar.,8,5,1,8,9,9,8
126,Hipster-friendly alcoholaholic. Bacon lover. Internet evangelist. Beer enthusiast. Explorer. Troublemaker.,2,5,1,3,8,0,2
127,Unapologetic explorer. Devoted music junkie. Beer fanatic. Wannabe internet lover. Friend of animals everywhere.,0,5,0,2,6,9,4
128,Typical reader. Tv advocate. Unapologetic twitter expert. Pop cultureaholic. Extreme beer practitioner.,2,4,1,6,5,1,8
129,Pop culture nerd. Bacon enthusiast. Incurable twitter fanatic. Music buff. Writer.,4,8,2,4,7,5,9
130,Creator. Evil thinker. Food enthusiast. Tv geek. Incurable web guru. Pop culture buff.,3,1,3,2,0,2,0
131,Analyst. Wannabe zombie fanatic. Reader. Music aficionado. Proud tv specialist.,5,4,2,5,7,9,5
132,Extreme web ninja. Passionate beer junkie. Proud zombie trailblazer. Wannabe troublemaker. Organizer. Foodaholic.,5,4,6,2,8,8,0
133,Unapologetic food maven. Evil bacon nerd. Devoted zombieaholic. Infuriatingly humble tv fan.,3,9,4,9,2,2,1
134,Reader. Communicator. Friendly web expert. Total twitter practitioner. Certified explorer. Thinker. Devoted writer.,3,3,0,8,5,3,2
135,Freelance writer. Evil alcohol fan. Certified introvert. Typical creator. Proud gamer. Thinker. Problem solver.,7,2,0,3,8,8,8
136,Travel scholar. Avid pop culture enthusiast. Falls down a lot. Unapologetic student. Communicator.,7,7,7,9,9,5,8
137,Pop culture evangelist. Organizer. Tv specialist. Professional webaholic. Coffee ninja.,9,2,9,9,4,6,1
138,Coffee ninja. Unable to type with boxing gloves on. Beer enthusiast. Evil problem solver. Professional bacon lover. Freelance travel fanatic.,6,2,5,7,9,4,1
139,Passionate twitter fanatic. Extreme alcohol evangelist. Freelance explorer. Total tv geek.,3,3,7,9,6,9,5
140,Wannabe bacon expert. Social media advocate. Subtly charming food scholar.,8,5,8,3,8,2,6
141,Hipster-friendly alcoholaholic. Bacon lover. Internet evangelist. Beer enthusiast. Explorer. Troublemaker.,1,9,3,9,7,2,4
142,Unapologetic explorer. Devoted music junkie. Beer fanatic. Wannabe internet lover. Friend of animals everywhere.,8,6,8,1,6,1,6
143,Typical reader. Tv advocate. Unapologetic twitter expert. Pop cultureaholic. Extreme beer practitioner.,2,1,6,2,1,2,6
144,Pop culture nerd. Bacon enthusiast. Incurable twitter fanatic. Music buff. Writer.,8,4,3,6,2,7,9
145,Creator. Evil thinker. Food enthusiast. Tv geek. Incurable web guru. Pop culture buff.,5,5,1,7,3,9,3
146,Analyst. Wannabe zombie fanatic. Reader. Music aficionado. Proud tv specialist.,8,0,2,4,8,7,4
147,Extreme web ninja. Passionate beer junkie. Proud zombie trailblazer. Wannabe troublemaker. Organizer. Foodaholic.,0,2,0,0,9,6,7
148,Unapologetic food maven. Evil bacon nerd. Devoted zombieaholic. Infuriatingly humble tv fan.,9,6,8,2,7,7,1
149,Reader. Communicator. Friendly web expert. Total twitter practitioner. Certified explorer. Thinker. Devoted writer.,6,6,3,7,5,4,5
150,Freelance writer. Evil alcohol fan. Certified introvert. Typical creator. Proud gamer. Thinker. Problem solver.,5,7,2,6,6,4,2
151,Travel scholar. Avid pop culture enthusiast. Falls down a lot. Unapologetic student. Communicator.,6,8,7,4,6,7,9
152,Pop culture evangelist. Organizer. Tv specialist. Professional webaholic. Coffee ninja.,4,5,8,1,7,9,1
153,Coffee ninja. Unable to type with boxing gloves on. Beer enthusiast. Evil problem solver. Professional bacon lover. Freelance travel fanatic.,4,0,5,7,8,1,2
154,Passionate twitter fanatic. Extreme alcohol evangelist. Freelance explorer. Total tv geek.,9,1,1,6,6,4,8
155,Wannabe bacon expert. Social media advocate. Subtly charming food scholar.,1,2,4,9,2,0,6
156,Hipster-friendly alcoholaholic. Bacon lover. Internet evangelist. Beer enthusiast. Explorer. Troublemaker.,4,6,0,0,3,4,9
157,Unapologetic explorer. Devoted music junkie. Beer fanatic. Wannabe internet lover. Friend of animals everywhere.,0,6,7,4,8,1,5
158,Typical reader. Tv advocate. Unapologetic twitter expert. Pop cultureaholic. Extreme beer practitioner.,3,1,0,4,4,2,7
159,Pop culture nerd. Bacon enthusiast. Incurable twitter fanatic. Music buff. Writer.,8,3,7,6,6,9,6
160,Creator. Evil thinker. Food enthusiast. Tv geek. Incurable web guru. Pop culture buff.,5,9,4,1,5,5,4
161,Analyst. Wannabe zombie fanatic. Reader. Music aficionado. Proud tv specialist.,4,7,4,9,9,6,2
162,Extreme web ninja. Passionate beer junkie. Proud zombie trailblazer. Wannabe troublemaker. Organizer. Foodaholic.,1,0,5,8,5,9,3
163,Unapologetic food maven. Evil bacon nerd. Devoted zombieaholic. Infuriatingly humble tv fan.,2,5,0,3,5,5,2
164,Reader. Communicator. Friendly web expert. Total twitter practitioner. Certified explorer. Thinker. Devoted writer.,0,7,3,0,5,1,9
165,Freelance writer. Evil alcohol fan. Certified introvert. Typical creator. Proud gamer. Thinker. Problem solver.,9,7,3,1,3,2,2
166,Travel scholar. Avid pop culture enthusiast. Falls down a lot. Unapologetic student. Communicator.,9,0,2,0,3,2,7
167,Pop culture evangelist. Organizer. Tv specialist. Professional webaholic. Coffee ninja.,0,4,8,9,9,0,8
168,Coffee ninja. Unable to type with boxing gloves on. Beer enthusiast. Evil problem solver. Professional bacon lover. Freelance travel fanatic.,2,4,8,5,3,1,1
169,Passionate twitter fanatic. Extreme alcohol evangelist. Freelance explorer. Total tv geek.,4,6,4,9,8,9,6
170,Wannabe bacon expert. Social media advocate. Subtly charming food scholar.,9,1,7,1,3,4,7
171,Hipster-friendly alcoholaholic. Bacon lover. Internet evangelist. Beer enthusiast. Explorer. Troublemaker.,8,4,2,3,6,5,0
172,Unapologetic explorer. Devoted music junkie. Beer fanatic. Wannabe internet lover. Friend of animals everywhere.,9,0,8,7,0,5,3
173,Typical reader. Tv advocate. Unapologetic twitter expert. Pop cultureaholic. Extreme beer practitioner.,7,8,0,8,5,2,9
174,Pop culture nerd. Bacon enthusiast. Incurable twitter fanatic. Music buff. Writer.,8,7,3,2,9,1,0
175,Creator. Evil thinker. Food enthusiast. Tv geek. Incurable web guru. Pop culture buff.,8,2,4,5,9,0,8
176,Analyst. Wannabe zombie fanatic. Reader. Music aficionado. Proud tv specialist.,4,1,7,7,5,6,4
177,Extreme web ninja. Passionate beer junkie. Proud zombie trailblazer. Wannabe troublemaker. Organizer. Foodaholic.,0,8,9,6,3,4,2
178,Unapologetic food maven. Evil bacon nerd. Devoted zombieaholic. Infuriatingly humble tv fan.,3,2,3,2,3,3,5
179,Reader. Communicator. Friendly web expert. Total twitter practitioner. Certified explorer. Thinker. Devoted writer.,7,0,8,7,0,1,2
180,Freelance writer. Evil alcohol fan. Certified introvert. Typical creator. Proud gamer. Thinker. Problem solver.,1,0,9,3,3,4,6
181,Travel scholar. Avid pop culture enthusiast. Falls down a lot. Unapologetic student. Communicator.,5,6,3,8,2,5,9
182,Pop culture evangelist. Organizer. Tv specialist. Professional webaholic. Coffee ninja.,7,4,3,3,2,8,1
183,Coffee ninja. Unable to type with boxing gloves on. Beer enthusiast. Evil problem solver. Professional bacon lover. Freelance travel fanatic.,6,8,4,4,8,7,2
184,Passionate twitter fanatic. Extreme alcohol evangelist. Freelance explorer. Total tv geek.,2,1,0,5,6,5,2
185,Wannabe bacon expert. Social media advocate. Subtly charming food scholar.,0,1,2,9,9,1,3
186,Hipster-friendly alcoholaholic. Bacon lover. Internet evangelist. Beer enthusiast. Explorer. Troublemaker.,5,9,6,2,4,1,1
187,Unapologetic explorer. Devoted music junkie. Beer fanatic. Wannabe internet lover. Friend of animals everywhere.,7,4,3,7,0,0,0
188,Typical reader. Tv advocate. Unapologetic twitter expert. Pop cultureaholic. Extreme beer practitioner.,5,8,2,1,8,7,4
189,Pop culture nerd. Bacon enthusiast. Incurable twitter fanatic. Music buff. Writer.,4,2,6,7,6,7,6
190,Creator. Evil thinker. Food enthusiast. Tv geek. Incurable web guru. Pop culture buff.,8,7,4,8,3,8,8
191,Analyst. Wannabe zombie fanatic. Reader. Music aficionado. Proud tv specialist.,4,1,5,0,6,9,8
192,Extreme web ninja. Passionate beer junkie. Proud zombie trailblazer. Wannabe troublemaker. Organizer. Foodaholic.,9,6,0,9,2,5,0
193,Unapologetic food maven. Evil bacon nerd. Devoted zombieaholic. Infuriatingly humble tv fan.,3,6,9,9,9,2,7
194,Reader. Communicator. Friendly web expert. Total twitter practitioner. Certified explorer. Thinker. Devoted writer.,5,0,3,4,0,7,2
195,Freelance writer. Evil alcohol fan. Certified introvert. Typical creator. Proud gamer. Thinker. Problem solver.,7,0,2,0,0,2,9
196,Travel scholar. Avid pop culture enthusiast. Falls down a lot. Unapologetic student. Communicator.,5,4,0,4,4,6,8
197,Pop culture evangelist. Organizer. Tv specialist. Professional webaholic. Coffee ninja.,4,4,8,1,2,8,0
198,Coffee ninja. Unable to type with boxing gloves on. Beer enthusiast. Evil problem solver. Professional bacon lover. Freelance travel fanatic.,3,1,0,2,9,4,1
199,Passionate twitter fanatic. Extreme alcohol evangelist. Freelance explorer. Total tv geek.,8,8,2,6,7,5,4
200,Wannabe bacon expert. Social media advocate. Subtly charming food scholar.,8,6,0,8,6,0,7
201,Hipster-friendly alcoholaholic. Bacon lover. Internet evangelist. Beer enthusiast. Explorer. Troublemaker.,5,2,8,4,7,5,2
202,Unapologetic explorer. Devoted music junkie. Beer fanatic. Wannabe internet lover. Friend of animals everywhere.,2,1,0,2,4,1,0
203,Typical reader. Tv advocate. Unapologetic twitter expert. Pop cultureaholic. Extreme beer practitioner.,9,4,4,0,2,4,0
204,Pop culture nerd. Bacon enthusiast. Incurable twitter fanatic. Music buff. Writer.,8,1,8,0,9,3,8
205,Creator. Evil thinker. Food enthusiast. Tv geek. Incurable web guru. Pop culture buff.,6,5,0,0,5,5,8
206,Analyst. Wannabe zombie fanatic. Reader. Music aficionado. Proud tv specialist.,4,9,0,0,3,5,7
207,Extreme web ninja. Passionate beer junkie. Proud zombie trailblazer. Wannabe troublemaker. Organizer. Foodaholic.,1,1,5,0,0,4,8
208,Unapologetic food maven. Evil bacon nerd. Devoted zombieaholic. Infuriatingly humble tv fan.,7,7,6,6,0,9,0
209,Reader. Communicator. Friendly web expert. Total twitter practitioner. Certified explorer. Thinker. Devoted writer.,4,6,7,0,0,9,4
210,Freelance writer. Evil alcohol fan. Certified introvert. Typical creator. Proud gamer. Thinker. Problem solver.,6,9,9,7,4,9,8
211,Travel scholar. Avid pop culture enthusiast. Falls down a lot. Unapologetic student. Communicator.,9,6,9,4,6,1,4
212,Pop culture evangelist. Organizer. Tv specialist. Professional webaholic. Coffee ninja.,0,9,0,4,4,3,2
213,Coffee ninja. Unable to type with boxing gloves on. Beer enthusiast. Evil problem solver. Professional bacon lover. Freelance travel fanatic.,8,5,3,2,3,9,7
214,Passionate twitter fanatic. Extreme alcohol evangelist. Freelance explorer. Total tv geek.,5,5,1,7,7,2,0
215,Wannabe bacon expert. Social media advocate. Subtly charming food scholar.,7,1,3,2,6,1,1
216,Hipster-friendly alcoholaholic. Bacon lover. Internet evangelist. Beer enthusiast. Explorer. Troublemaker.,2,2,7,3,2,0,1
217,Unapologetic explorer. Devoted music junkie. Beer fanatic. Wannabe internet lover. Friend of animals everywhere.,4,2,9,7,1,6,4
218,Typical reader. Tv advocate. Unapologetic twitter expert. Pop cultureaholic. Extreme beer practitioner.,2,4,1,7,5,0,6
219,Pop culture nerd. Bacon enthusiast. Incurable twitter fanatic. Music buff. Writer.,0,7,6,4,8,9,8
220,Creator. Evil thinker. Food enthusiast. Tv geek. Incurable web guru. Pop culture buff.,7,7,2,8,5,8,5
221,Analyst. Wannabe zombie fanatic. Reader. Music aficionado. Proud tv specialist.,6,5,9,8,1,2,4
222,Extreme web ninja. Passionate beer junkie. Proud zombie trailblazer. Wannabe troublemaker. Organizer. Foodaholic.,1,0,3,6,9,3,8
223,Unapologetic food maven. Evil bacon nerd. Devoted zombieaholic. Infuriatingly humble tv fan.,2,6,6,3,2,3,5
224,Reader. Communicator. Friendly web expert. Total twitter practitioner. Certified explorer. Thinker. Devoted writer.,9,8,6,4,7,3,3
225,Freelance writer. Evil alcohol fan. Certified introvert. Typical creator. Proud gamer. Thinker. Problem solver.,1,5,9,7,2,7,3
226,Travel scholar. Avid pop culture enthusiast. Falls down a lot. Unapologetic student. Communicator.,7,6,9,6,6,7,8
227,Pop culture evangelist. Organizer. Tv specialist. Professional webaholic. Coffee ninja.,7,0,7,9,6,4,1
228,Coffee ninja. Unable to type with boxing gloves on. Beer enthusiast. Evil problem solver. Professional bacon lover. Freelance travel fanatic.,7,0,6,5,9,1,6
229,Passionate twitter fanatic. Extreme alcohol evangelist. Freelance explorer. Total tv geek.,5,6,3,9,3,7,9
